files/experiment_read_counts.json
{"chrom": "chr21", "E114": {"H3K4me3": {"num_reads": 7.333333333333333e-07}, "H3K27me3": {"num_reads": 6.666666666666667e-07}, "H3K4me1": {"num_reads": 2.3333333333333333e-07}, "H3K9me3": {"num_reads": 1.9666666666666668e-06}, "H3K36me3": {"num_reads": 9e-07}}, "E117": {"H3K4me3": {"num_reads": 7.666666666666667e-07}, "H3K27me3": {"num_reads": 5e-07}, "H3K4me1": {"num_reads": 1.3333333333333334e-07}, "H3K9me3": {"num_reads": 1.933333333333333e-06}, "H3K36me3": {"num_reads": 2.3333333333333333e-07}}, "E116": {"H3K4me3": {"num_reads": 7e-07}, "H3K27me3": {"num_reads": 5e-07}, "H3K4me1": {"num_reads": 3.3333333333333335e-07}, "H3K9me3": {"num_reads": 4.866666666666667e-06}, "H3K36me3": {"num_reads": 5.056780984701444e-07}}, "location": 9912442, "E113": {"H3K4me3": {"num_reads": 2.9544012394776783e-06}, "H3K27me3": {"num_reads": 1.4232212257661006e-06}, "H3K4me1": {"num_reads": 2.322166720003477e-06}, "H3K9me3": {"num_reads": 7.909806921613043e-06}, "H3K36me3": {"num_reads": 3.5832137186920435e-06}}, "E112": {"H3K4me3": {"num_reads": 3.377268088816747e-07}, "H3K27me3": {"num_reads": 7.055133978293877e-07}, "H3K4me1": {"num_reads": 3.1959104618384644e-07}, "H3K9me3": {"num_reads": 5.9522726177488295e-06}, "H3K36me3": {"num_reads": 1.6798955899075539e-06}}, "read_dir": -1, "gene": "ENSG00000188681.7", "E119": {"H3K4me3": {"num_reads": 9.019579929600676e-07}, "H3K27me3": {"num_reads": 8.298582487207735e-07}, "H3K4me1": {"num_reads": 4.6666666666666666e-07}, "H3K9me3": {"num_reads": 7.672502518224934e-06}, "H3K36me3": {"num_reads": 1.0263770252309402e-06}}, "E118": {"H3K4me3": {"num_reads": 3.0582921493518196e-07}, "H3K27me3": {"num_reads": 7.893746330480476e-07}, "H3K4me1": {"num_reads": 1.3333333333333334e-07}, "H3K9me3": {"num_reads": 1.7666666666666668e-06}, "H3K36me3": {"num_reads": 9.202979418571866e-07}}}
{"chrom": "chr21", "E114": {"H3K4me3": {"num_reads": 4.3333333333333335e-07}, "H3K27me3": {"num_reads": 1.6666666666666668e-07}, "H3K4me1": {"num_reads": 1.6666666666666668e-07}, "H3K9me3": {"num_reads": 7.666666666666667e-07}, "H3K36me3": {"num_reads": 2.3333333333333333e-07}}, "E117": {"H3K4me3": {"num_reads": 1.3333333333333334e-07}, "H3K27me3": {"num_reads": 2.3333333333333333e-07}, "H3K4me1": {"num_reads": 3.6666666666666667e-07}, "H3K9me3": {"num_reads": 5.666666666666667e-07}, "H3K36me3": {"num_reads": 2.6666666666666667e-07}}, "E116": {"H3K4me3": {"num_reads": 3e-07}, "H3K27me3": {"num_reads": 2.3333333333333333e-07}, "H3K4me1": {"num_reads": 3.6666666666666667e-07}, "H3K9me3": {"num_reads": 8e-07}, "H3K36me3": {"num_reads": 2.758244173473515e-07}}, "location": 22836061, "E113": {"H3K4me3": {"num_reads": 1.772640743686607e-07}, "H3K27me3": {"num_reads": 5.17534991187673e-07}, "H3K4me1": {"num_reads": 3.0670126490611963e-07}, "H3K9me3": {"num_reads": 2.799931653668334e-07}, "H3K36me3": {"num_reads": 9.953371440811231e-08}}, "E112": {"H3K4me3": {"num_reads": 3.0020160789482197e-07}, "H3K27me3": {"num_reads": 1.113968522888507e-07}, "H3K4me1": {"num_reads": 6.391820923676929e-08}, "H3K9me3": {"num_reads": 7.631118740703629e-08}, "H3K36me3": {"num_reads": 3.0543556180137343e-07}}, "read_dir": 1, "gene": "ENSG00000154654.9", "E119": {"H3K4me3": {"num_reads": 1.1274474912000845e-07}, "H3K27me3": {"num_reads": 1.2767049980319594e-07}, "H3K4me1": {"num_reads": 1e-07}, "H3K9me3": {"num_reads": 2.3652075432121976e-06}, "H3K36me3": {"num_reads": 1.6205953029962215e-07}}, "E118": {"H3K4me3": {"num_reads": 1.8349752896110918e-07}, "H3K27me3": {"num_reads": 1.3728254487792131e-07}, "H3K4me1": {"num_reads": 1.6666666666666668e-07}, "H3K9me3": {"num_reads": 2.266666666666667e-06}, "H3K36me3": {"num_reads": 2.875931068303708e-07}}}
{"chrom": "chr21", "E114": {"H3K4me3": {"num_reads": 6.666666666666667e-08}, "H3K27me3": {"num_reads": 3.3333333333333334e-08}, "H3K4me1": {"num_reads": 3.3333333333333334e-08}, "H3K9me3": {"num_reads": 3e-07}, "H3K36me3": {"num_reads": 1e-07}}, "E117": {"H3K4me3": {"num_reads": 1.6666666666666668e-07}, "H3K27me3": {"num_reads": 1.6666666666666668e-07}, "H3K4me1": {"num_reads": 3.3333333333333334e-08}, "H3K9me3": {"num_reads": 2.3333333333333333e-07}, "H3K36me3": {"num_reads": 3.3333333333333334e-08}}, "E116": {"H3K4me3": {"num_reads": 6.666666666666667e-08}, "H3K27me3": {"num_reads": 0.0}, "H3K4me1": {"num_reads": 1.3333333333333334e-07}, "H3K9me3": {"num_reads": 1.3333333333333334e-07}, "H3K36me3": {"num_reads": 4.597073622455859e-08}}, "location": 23119305, "E113": {"H3K4me3": {"num_reads": 2.3635209915821428e-07}, "H3K27me3": {"num_reads": 5.17534991187673e-07}, "H3K4me1": {"num_reads": 2.1907233207579974e-07}, "H3K9me3": {"num_reads": 5.599863307336668e-07}, "H3K36me3": {"num_reads": 9.953371440811231e-08}}, "E112": {"H3K4me3": {"num_reads": 1.8762600493426374e-07}, "H3K27me3": {"num_reads": 1.4852913638513427e-07}, "H3K4me1": {"num_reads": 1.2783641847353858e-07}, "H3K9me3": {"num_reads": 8.394230614773991e-07}, "H3K36me3": {"num_reads": 1.5271778090068671e-07}}, "read_dir": 1, "gene": "ENSG00000233997.1", "E119": {"H3K4me3": {"num_reads": 7.516316608000563e-08}, "H3K27me3": {"num_reads": 1.2767049980319594e-07}, "H3K4me1": {"num_reads": 1e-07}, "H3K9me3": {"num_reads": 6.922558663060091e-07}, "H3K36me3": {"num_reads": 3.241190605992443e-07}}, "E118": {"H3K4me3": {"num_reads": 0.0}, "H3K27me3": {"num_reads": 0.0}, "H3K4me1": {"num_reads": 0.0}, "H3K9me3": {"num_reads": 4.3333333333333335e-07}, "H3K36me3": {"num_reads": 0.0}}}
{"chrom": "chr21", "E114": {"H3K4me3": {"num_reads": 1.6666666666666668e-07}, "H3K27me3": {"num_reads": 3.3333333333333334e-08}, "H3K4me1": {"num_reads": 1.3333333333333334e-07}, "H3K9me3": {"num_reads": 3e-07}, "H3K36me3": {"num_reads": 1.3333333333333334e-07}}, "E117": {"H3K4me3": {"num_reads": 1.3333333333333334e-07}, "H3K27me3": {"num_reads": 1.6666666666666668e-07}, "H3K4me1": {"num_reads": 1.6666666666666668e-07}, "H3K9me3": {"num_reads": 5e-07}, "H3K36me3": {"num_reads": 2e-07}}, "E116": {"H3K4me3": {"num_reads": 1.6666666666666668e-07}, "H3K27me3": {"num_reads": 0.0}, "H3K4me1": {"num_reads": 1e-07}, "H3K9me3": {"num_reads": 2.6666666666666667e-07}, "H3K36me3": {"num_reads": 2.2985368112279293e-07}}, "location": 23390475, "E113": {"H3K4me3": {"num_reads": 1.1817604957910714e-07}, "H3K27me3": {"num_reads": 1.9407562169537736e-07}, "H3K4me1": {"num_reads": 4.3814466415159945e-08}, "H3K9me3": {"num_reads": 6.999829134170835e-08}, "H3K36me3": {"num_reads": 1.9906742881622462e-07}}, "E112": {"H3K4me3": {"num_reads": 1.5010080394741099e-07}, "H3K27me3": {"num_reads": 1.8566142048141784e-07}, "H3K4me1": {"num_reads": 1.9175462771030784e-07}, "H3K9me3": {"num_reads": 3.0524474962814515e-07}, "H3K36me3": {"num_reads": 2.2907667135103007e-07}}, "read_dir": -1, "gene": "ENSG00000233215.1", "E119": {"H3K4me3": {"num_reads": 2.254894982400169e-07}, "H3K27me3": {"num_reads": 1.2767049980319594e-07}, "H3K4me1": {"num_reads": 3.3333333333333334e-08}, "H3K9me3": {"num_reads": 8.076318440236772e-07}, "H3K36me3": {"num_reads": 1.0803968686641476e-07}}, "E118": {"H3K4me3": {"num_reads": 1.2233168597407278e-07}, "H3K27me3": {"num_reads": 6.864127243896066e-08}, "H3K4me1": {"num_reads": 0.0}, "H3K9me3": {"num_reads": 8.666666666666667e-07}, "H3K36me3": {"num_reads": 1.1503724273214832e-07}}}
{"chrom": "chr21", "E114": {"H3K4me3": {"num_reads": 1.6666666666666668e-07}, "H3K27me3": {"num_reads": 6.666666666666667e-08}, "H3K4me1": {"num_reads": 1e-07}, "H3K9me3": {"num_reads": 7e-07}, "H3K36me3": {"num_reads": 1e-07}}, "E117": {"H3K4me3": {"num_reads": 1.6666666666666668e-07}, "H3K27me3": {"num_reads": 2.3333333333333333e-07}, "H3K4me1": {"num_reads": 2e-07}, "H3K9me3": {"num_reads": 2.3333333333333333e-07}, "H3K36me3": {"num_reads": 6e-07}}, "E116": {"H3K4me3": {"num_reads": 3e-07}, "H3K27me3": {"num_reads": 3e-07}, "H3K4me1": {"num_reads": 1e-07}, "H3K9me3": {"num_reads": 6e-07}, "H3K36me3": {"num_reads": 1.3791220867367575e-07}}, "location": 23426688, "E113": {"H3K4me3": {"num_reads": 0.0}, "H3K27me3": {"num_reads": 6.469187389845912e-08}, "H3K4me1": {"num_reads": 0.0}, "H3K9me3": {"num_reads": 6.999829134170835e-08}, "H3K36me3": {"num_reads": 4.9766857204056155e-08}}, "E112": {"H3K4me3": {"num_reads": 7.505040197370549e-08}, "H3K27me3": {"num_reads": 1.4852913638513427e-07}, "H3K4me1": {"num_reads": 6.391820923676929e-08}, "H3K9me3": {"num_reads": 1.5262237481407257e-07}, "H3K36me3": {"num_reads": 7.635889045034336e-08}}, "read_dir": -1, "gene": "ENSG00000233215.1", "E119": {"H3K4me3": {"num_reads": 2.630710812800197e-07}, "H3K27me3": {"num_reads": 1.915057497047939e-07}, "H3K4me1": {"num_reads": 3.3333333333333334e-08}, "H3K9me3": {"num_reads": 1.2114477660355159e-06}, "H3K36me3": {"num_reads": 2.1607937373282952e-07}}, "E118": {"H3K4me3": {"num_reads": 6.116584298703639e-08}, "H3K27me3": {"num_reads": 1.3728254487792131e-07}, "H3K4me1": {"num_reads": 0.0}, "H3K9me3": {"num_reads": 1.7333333333333334e-06}, "H3K36me3": {"num_reads": 0.0}}}
{"chrom": "chr21", "E114": {"H3K4me3": {"num_reads": 1.6666666666666668e-07}, "H3K27me3": {"num_reads": 1e-07}, "H3K4me1": {"num_reads": 1.3333333333333334e-07}, "H3K9me3": {"num_reads": 6e-07}, "H3K36me3": {"num_reads": 1.6666666666666668e-07}}, "E117": {"H3K4me3": {"num_reads": 2e-07}, "H3K27me3": {"num_reads": 1.3333333333333334e-07}, "H3K4me1": {"num_reads": 1e-07}, "H3K9me3": {"num_reads": 6.333333333333333e-07}, "H3K36me3": {"num_reads": 3e-07}}, "E116": {"H3K4me3": {"num_reads": 4e-07}, "H3K27me3": {"num_reads": 1e-07}, "H3K4me1": {"num_reads": 1.6666666666666668e-07}, "H3K9me3": {"num_reads": 5.333333333333333e-07}, "H3K36me3": {"num_reads": 5.976195709192616e-07}}, "location": 23470778, "E113": {"H3K4me3": {"num_reads": 1.1817604957910714e-07}, "H3K27me3": {"num_reads": 3.234593694922956e-07}, "H3K4me1": {"num_reads": 3.943301977364395e-07}, "H3K9me3": {"num_reads": 6.999829134170835e-07}, "H3K36me3": {"num_reads": 1.9906742881622462e-07}}, "E112": {"H3K4me3": {"num_reads": 2.6267640690796924e-07}, "H3K27me3": {"num_reads": 7.426456819256714e-08}, "H3K4me1": {"num_reads": 2.5567283694707715e-07}, "H3K9me3": {"num_reads": 1.5262237481407257e-07}, "H3K36me3": {"num_reads": 1.908972261258584e-07}}, "read_dir": -1, "gene": "ENSG00000233215.1", "E119": {"H3K4me3": {"num_reads": 2.630710812800197e-07}, "H3K27me3": {"num_reads": 1.2767049980319594e-07}, "H3K4me1": {"num_reads": 1.6666666666666668e-07}, "H3K9me3": {"num_reads": 1.5575756991885203e-06}, "H3K36me3": {"num_reads": 2.700992171660369e-07}}, "E118": {"H3K4me3": {"num_reads": 2.4466337194814557e-07}, "H3K27me3": {"num_reads": 2.05923817316882e-07}, "H3K4me1": {"num_reads": 0.0}, "H3K9me3": {"num_reads": 1.7e-06}, "H3K36me3": {"num_reads": 4.0263034956251913e-07}}}
{"chrom": "chr21", "E114": {"H3K4me3": {"num_reads": 1.3333333333333334e-07}, "H3K27me3": {"num_reads": 6.666666666666667e-08}, "H3K4me1": {"num_reads": 3.3333333333333334e-08}, "H3K9me3": {"num_reads": 6e-07}, "H3K36me3": {"num_reads": 2.6666666666666667e-07}}, "E117": {"H3K4me3": {"num_reads": 1.6666666666666668e-07}, "H3K27me3": {"num_reads": 1.6666666666666668e-07}, "H3K4me1": {"num_reads": 6.666666666666667e-08}, "H3K9me3": {"num_reads": 4.6666666666666666e-07}, "H3K36me3": {"num_reads": 3e-07}}, "E116": {"H3K4me3": {"num_reads": 1.6666666666666668e-07}, "H3K27me3": {"num_reads": 3e-07}, "H3K4me1": {"num_reads": 1.6666666666666668e-07}, "H3K9me3": {"num_reads": 3e-07}, "H3K36me3": {"num_reads": 1.8388294489823436e-07}}, "location": 25415572, "E113": {"H3K4me3": {"num_reads": 5.908802478955357e-08}, "H3K27me3": {"num_reads": 1.9407562169537736e-07}, "H3K4me1": {"num_reads": 1.7525786566063978e-07}, "H3K9me3": {"num_reads": 0.0}, "H3K36me3": {"num_reads": 0.0}}, "E112": {"H3K4me3": {"num_reads": 7.505040197370549e-08}, "H3K27me3": {"num_reads": 7.426456819256714e-08}, "H3K4me1": {"num_reads": 1.2783641847353858e-07}, "H3K9me3": {"num_reads": 1.5262237481407257e-07}, "H3K36me3": {"num_reads": 3.817944522517168e-08}}, "read_dir": 1, "gene": "ENSG00000226996.1", "E119": {"H3K4me3": {"num_reads": 3.3823424736002535e-07}, "H3K27me3": {"num_reads": 1.915057497047939e-07}, "H3K4me1": {"num_reads": 6.666666666666667e-08}, "H3K9me3": {"num_reads": 1.2691357548943498e-06}, "H3K36me3": {"num_reads": 5.401984343320738e-08}}, "E118": {"H3K4me3": {"num_reads": 6.116584298703639e-08}, "H3K27me3": {"num_reads": 1.3728254487792131e-07}, "H3K4me1": {"num_reads": 6.666666666666667e-08}, "H3K9me3": {"num_reads": 1.4333333333333333e-06}, "H3K36me3": {"num_reads": 2.3007448546429665e-07}}}
{"chrom": "chr21", "E114": {"H3K4me3": {"num_reads": 2.6666666666666667e-07}, "H3K27me3": {"num_reads": 1e-07}, "H3K4me1": {"num_reads": 6.666666666666667e-08}, "H3K9me3": {"num_reads": 7.666666666666667e-07}, "H3K36me3": {"num_reads": 3.3333333333333335e-07}}, "E117": {"H3K4me3": {"num_reads": 2.1333333333333334e-06}, "H3K27me3": {"num_reads": 3.6666666666666667e-07}, "H3K4me1": {"num_reads": 6.333333333333333e-07}, "H3K9me3": {"num_reads": 3.6666666666666667e-07}, "H3K36me3": {"num_reads": 2e-07}}, "E116": {"H3K4me3": {"num_reads": 2e-07}, "H3K27me3": {"num_reads": 2.6666666666666667e-07}, "H3K4me1": {"num_reads": 2e-07}, "H3K9me3": {"num_reads": 2.3333333333333333e-07}, "H3K36me3": {"num_reads": 2.758244173473515e-07}}, "location": 25801072, "E113": {"H3K4me3": {"num_reads": 2.3635209915821428e-07}, "H3K27me3": {"num_reads": 1.2938374779691824e-07}, "H3K4me1": {"num_reads": 1.3144339924547985e-07}, "H3K9me3": {"num_reads": 0.0}, "H3K36me3": {"num_reads": 0.0}}, "E112": {"H3K4me3": {"num_reads": 1.3509072355266988e-06}, "H3K27me3": {"num_reads": 2.9705827277026854e-07}, "H3K4me1": {"num_reads": 2.5567283694707715e-07}, "H3K9me3": {"num_reads": 2.67089155924627e-07}, "H3K36me3": {"num_reads": 1.5271778090068671e-07}}, "read_dir": 1, "gene": "ENSG00000237484.3", "E119": {"H3K4me3": {"num_reads": 3.3823424736002535e-07}, "H3K27me3": {"num_reads": 0.0}, "H3K4me1": {"num_reads": 6.666666666666667e-08}, "H3K9me3": {"num_reads": 1.4998877103296863e-06}, "H3K36me3": {"num_reads": 1.6205953029962215e-07}}, "E118": {"H3K4me3": {"num_reads": 1.2233168597407278e-07}, "H3K27me3": {"num_reads": 3.432063621948033e-08}, "H3K4me1": {"num_reads": 0.0}, "H3K9me3": {"num_reads": 1.5e-06}, "H3K36me3": {"num_reads": 2.3007448546429665e-07}}}
{"chrom": "chr21", "E114": {"H3K4me3": {"num_reads": 1.3333333333333334e-07}, "H3K27me3": {"num_reads": 3.3333333333333334e-08}, "H3K4me1": {"num_reads": 3.3333333333333334e-08}, "H3K9me3": {"num_reads": 4e-07}, "H3K36me3": {"num_reads": 6.666666666666667e-08}}, "E117": {"H3K4me3": {"num_reads": 2e-07}, "H3K27me3": {"num_reads": 2.6666666666666667e-07}, "H3K4me1": {"num_reads": 2.6666666666666667e-07}, "H3K9me3": {"num_reads": 6.333333333333333e-07}, "H3K36me3": {"num_reads": 6.666666666666667e-08}}, "E116": {"H3K4me3": {"num_reads": 2.6666666666666667e-07}, "H3K27me3": {"num_reads": 3.6666666666666667e-07}, "H3K4me1": {"num_reads": 2.3333333333333333e-07}, "H3K9me3": {"num_reads": 3e-07}, "H3K36me3": {"num_reads": 9.194147244911718e-08}}, "location": 26316294, "E113": {"H3K4me3": {"num_reads": 4.7270419831642856e-07}, "H3K27me3": {"num_reads": 4.5284311728921384e-07}, "H3K4me1": {"num_reads": 2.1907233207579974e-07}, "H3K9me3": {"num_reads": 4.899880393919585e-07}, "H3K36me3": {"num_reads": 3.483680004283931e-07}}, "E112": {"H3K4me3": {"num_reads": 2.6267640690796924e-07}, "H3K27me3": {"num_reads": 4.455874091554028e-07}, "H3K4me1": {"num_reads": 3.1959104618384644e-07}, "H3K9me3": {"num_reads": 4.960227181457359e-07}, "H3K36me3": {"num_reads": 3.436150070265451e-07}}, "read_dir": -1, "gene": "ENSG00000230379.1", "E119": {"H3K4me3": {"num_reads": 2.630710812800197e-07}, "H3K27me3": {"num_reads": 1.2767049980319594e-07}, "H3K4me1": {"num_reads": 6.666666666666667e-08}, "H3K9me3": {"num_reads": 6.922558663060091e-07}, "H3K36me3": {"num_reads": 5.401984343320738e-08}}, "E118": {"H3K4me3": {"num_reads": 6.116584298703639e-08}, "H3K27me3": {"num_reads": 2.05923817316882e-07}, "H3K4me1": {"num_reads": 0.0}, "H3K9me3": {"num_reads": 1.3333333333333334e-06}, "H3K36me3": {"num_reads": 0.0}}}
{"chrom": "chr21", "E114": {"H3K4me3": {"num_reads": 2e-07}, "H3K27me3": {"num_reads": 6.666666666666667e-08}, "H3K4me1": {"num_reads": 6.666666666666667e-08}, "H3K9me3": {"num_reads": 5.666666666666667e-07}, "H3K36me3": {"num_reads": 2.3333333333333333e-07}}, "E117": {"H3K4me3": {"num_reads": 1.3333333333333334e-07}, "H3K27me3": {"num_reads": 2.3333333333333333e-07}, "H3K4me1": {"num_reads": 2e-07}, "H3K9me3": {"num_reads": 5e-07}, "H3K36me3": {"num_reads": 4.3333333333333335e-07}}, "E116": {"H3K4me3": {"num_reads": 3.3333333333333335e-07}, "H3K27me3": {"num_reads": 5.333333333333333e-07}, "H3K4me1": {"num_reads": 3e-07}, "H3K9me3": {"num_reads": 2e-07}, "H3K36me3": {"num_reads": 1.8388294489823436e-07}}, "location": 26324471, "E113": {"H3K4me3": {"num_reads": 5.908802478955357e-08}, "H3K27me3": {"num_reads": 1.2938374779691824e-07}, "H3K4me1": {"num_reads": 4.3814466415159945e-08}, "H3K9me3": {"num_reads": 2.0999487402512505e-07}, "H3K36me3": {"num_reads": 0.0}}, "E112": {"H3K4me3": {"num_reads": 7.505040197370549e-08}, "H3K27me3": {"num_reads": 1.8566142048141784e-07}, "H3K4me1": {"num_reads": 6.391820923676929e-08}, "H3K9me3": {"num_reads": 1.5262237481407257e-07}, "H3K36me3": {"num_reads": 1.1453833567551504e-07}}, "read_dir": -1, "gene": "ENSG00000230379.1", "E119": {"H3K4me3": {"num_reads": 1.8790791520001407e-07}, "H3K27me3": {"num_reads": 3.830114994095878e-07}, "H3K4me1": {"num_reads": 6.666666666666667e-08}, "H3K9me3": {"num_reads": 1.2114477660355159e-06}, "H3K36me3": {"num_reads": 1.6205953029962215e-07}}, "E118": {"H3K4me3": {"num_reads": 6.116584298703639e-08}, "H3K27me3": {"num_reads": 3.432063621948033e-08}, "H3K4me1": {"num_reads": 6.666666666666667e-08}, "H3K9me3": {"num_reads": 1.6e-06}, "H3K36me3": {"num_reads": 2.875931068303708e-07}}}
{"chrom": "chr21", "E114": {"H3K4me3": {"num_reads": 4.3333333333333335e-07}, "H3K27me3": {"num_reads": 1e-07}, "H3K4me1": {"num_reads": 1e-07}, "H3K9me3": {"num_reads": 5e-07}, "H3K36me3": {"num_reads": 2.6666666666666667e-07}}, "E117": {"H3K4me3": {"num_reads": 1.3333333333333334e-07}, "H3K27me3": {"num_reads": 3.3333333333333335e-07}, "H3K4me1": {"num_reads": 1.3333333333333334e-07}, "H3K9me3": {"num_reads": 1.1e-06}, "H3K36me3": {"num_reads": 2e-07}}, "E116": {"H3K4me3": {"num_reads": 3e-07}, "H3K27me3": {"num_reads": 3e-07}, "H3K4me1": {"num_reads": 1.6666666666666668e-07}, "H3K9me3": {"num_reads": 9e-07}, "H3K36me3": {"num_reads": 1.8388294489823436e-07}}, "location": 26365129, "E113": {"H3K4me3": {"num_reads": 2.3635209915821428e-07}, "H3K27me3": {"num_reads": 3.881512433907547e-07}, "H3K4me1": {"num_reads": 2.1907233207579974e-07}, "H3K9me3": {"num_reads": 4.199897480502501e-07}, "H3K36me3": {"num_reads": 1.9906742881622462e-07}}, "E112": {"H3K4me3": {"num_reads": 1.8762600493426374e-07}, "H3K27me3": {"num_reads": 3.713228409628357e-07}, "H3K4me1": {"num_reads": 3.1959104618384644e-07}, "H3K9me3": {"num_reads": 4.1971153073869953e-07}, "H3K36me3": {"num_reads": 4.1997389747688847e-07}}, "read_dir": -1, "gene": "ENSG00000230379.1", "E119": {"H3K4me3": {"num_reads": 3.006526643200225e-07}, "H3K27me3": {"num_reads": 2.5534099960639187e-07}, "H3K4me1": {"num_reads": 1e-07}, "H3K9me3": {"num_reads": 1.4421997214708521e-06}, "H3K36me3": {"num_reads": 2.1607937373282952e-07}}, "E118": {"H3K4me3": {"num_reads": 1.2233168597407278e-07}, "H3K27me3": {"num_reads": 6.864127243896066e-08}, "H3K4me1": {"num_reads": 2e-07}, "H3K9me3": {"num_reads": 2.3e-06}, "H3K36me3": {"num_reads": 2.875931068303708e-07}}}
{"chrom": "chr21", "E114": {"H3K4me3": {"num_reads": 2e-07}, "H3K27me3": {"num_reads": 3.3333333333333334e-08}, "H3K4me1": {"num_reads": 6.666666666666667e-08}, "H3K9me3": {"num_reads": 3.6666666666666667e-07}, "H3K36me3": {"num_reads": 1e-07}}, "E117": {"H3K4me3": {"num_reads": 1e-07}, "H3K27me3": {"num_reads": 2.3333333333333333e-07}, "H3K4me1": {"num_reads": 1e-07}, "H3K9me3": {"num_reads": 5.333333333333333e-07}, "H3K36me3": {"num_reads": 2.3333333333333333e-07}}, "E116": {"H3K4me3": {"num_reads": 4e-07}, "H3K27me3": {"num_reads": 1.6666666666666668e-07}, "H3K4me1": {"num_reads": 1.6666666666666668e-07}, "H3K9me3": {"num_reads": 1.3666666666666666e-06}, "H3K36me3": {"num_reads": 1.8388294489823436e-07}}, "location": 26467355, "E113": {"H3K4me3": {"num_reads": 0.0}, "H3K27me3": {"num_reads": 1.2938374779691824e-07}, "H3K4me1": {"num_reads": 0.0}, "H3K9me3": {"num_reads": 6.999829134170835e-08}, "H3K36me3": {"num_reads": 0.0}}, "E112": {"H3K4me3": {"num_reads": 3.7525200986852746e-08}, "H3K27me3": {"num_reads": 3.713228409628357e-08}, "H3K4me1": {"num_reads": 0.0}, "H3K9me3": {"num_reads": 2.2893356222110885e-07}, "H3K36me3": {"num_reads": 0.0}}, "read_dir": 1, "gene": "ENSG00000232512.1", "E119": {"H3K4me3": {"num_reads": 1.5032633216001125e-07}, "H3K27me3": {"num_reads": 1.2767049980319594e-07}, "H3K4me1": {"num_reads": 3.3333333333333334e-08}, "H3K9me3": {"num_reads": 7.499438551648432e-07}, "H3K36me3": {"num_reads": 1.0803968686641476e-07}}, "E118": {"H3K4me3": {"num_reads": 0.0}, "H3K27me3": {"num_reads": 1.7160318109740167e-07}, "H3K4me1": {"num_reads": 6.666666666666667e-08}, "H3K9me3": {"num_reads": 1.2e-06}, "H3K36me3": {"num_reads": 1.1503724273214832e-07}}}
{"chrom": "chr21", "E114": {"H3K4me3": {"num_reads": 3.3333333333333334e-08}, "H3K27me3": {"num_reads": 4.3333333333333335e-07}, "H3K4me1": {"num_reads": 1.3333333333333334e-07}, "H3K9me3": {"num_reads": 4e-07}, "H3K36me3": {"num_reads": 2.3333333333333333e-07}}, "E117": {"H3K4me3": {"num_reads": 2e-07}, "H3K27me3": {"num_reads": 9.333333333333333e-07}, "H3K4me1": {"num_reads": 3.6666666666666667e-07}, "H3K9me3": {"num_reads": 3.3333333333333335e-07}, "H3K36me3": {"num_reads": 2.3333333333333333e-07}}, "E116": {"H3K4me3": {"num_reads": 4.766666666666667e-06}, "H3K27me3": {"num_reads": 2.3333333333333333e-07}, "H3K4me1": {"num_reads": 1.933333333333333e-06}, "H3K9me3": {"num_reads": 5.333333333333333e-07}, "H3K36me3": {"num_reads": 2.2985368112279293e-07}}, "location": 26797021, "E113": {"H3K4me3": {"num_reads": 2.3635209915821428e-07}, "H3K27me3": {"num_reads": 1.9407562169537736e-07}, "H3K4me1": {"num_reads": 4.3814466415159945e-08}, "H3K9me3": {"num_reads": 0.0}, "H3K36me3": {"num_reads": 0.0}}, "E112": {"H3K4me3": {"num_reads": 1.5010080394741099e-07}, "H3K27me3": {"num_reads": 2.227937045777014e-07}, "H3K4me1": {"num_reads": 2.5567283694707715e-07}, "H3K9me3": {"num_reads": 1.5262237481407257e-07}, "H3K36me3": {"num_reads": 1.908972261258584e-07}}, "read_dir": -1, "gene": "ENSG00000185433.4", "E119": {"H3K4me3": {"num_reads": 3.758158304000281e-08}, "H3K27me3": {"num_reads": 1.915057497047939e-07}, "H3K4me1": {"num_reads": 6.666666666666667e-08}, "H3K9me3": {"num_reads": 1.0383837994590136e-06}, "H3K36me3": {"num_reads": 2.1607937373282952e-07}}, "E118": {"H3K4me3": {"num_reads": 6.116584298703639e-08}, "H3K27me3": {"num_reads": 0.0}, "H3K4me1": {"num_reads": 6.666666666666667e-08}, "H3K9me3": {"num_reads": 1.1e-06}, "H3K36me3": {"num_reads": 0.0}}}
